Code Region	         CS	PREP	NPS	CPM	PDG	Others
TA Tarapaca	19975	33273	9441	8354	29906	8217
AN Antofagasta	41487	42299	17542	14729	68473	16946
AT Atacama	20418	19017	27501	7097	25443	6604
CO Coquimbo	68203	56998	35992	27404	52426	22530
VA Valparaíso	223384	211904	81855	95658	103996	77065
LI Libertador	87861	92349	48274	50330	52409	32369
ML Maule	78918	127027	56257	54919	55047	31209
BI Biobío	117325	199475	72905	63009	112004	47189
AR Araucanía	65297	166017	48731	40957	46934	25893
LL LosLagos	66520	105763	47930	35552	48430	21552
AI Aysén	9975	11761	6574	3921	5153	2525
MA Magallanes	21136	19291	6854	5759	8740	7295
RM Metropolitana 892593	721457	294990	440052	220716	307768
LR LosRíos	36980	52919	21780	16287	20932	10725
AP Arica	15077	25120	8423	6194	24296	5686
NB Ñuble	31702	69937	28358	24616	24162	12190
