Code Region	PL	FP	RP	AVP	ACCP	OTHERS
AMA Amazonas 34464	17815	8274	4433	12703	54510
ANC Áncash	110620	67394	42312	34562	38911	177986
APU Apurímac 88812	10879	7768	6531	15649	36547
ARE Arequipa 256224	40216	71053	148793	88708	190717
AYA Ayacucho 130224	17751	11490	8995	20315	61775
CAJ Cajamarca 232418 54962	31129	25156	38677	135120
CAL Callao	33750	79699	78066	78920	34965	219867
CUS Cusco	232178	27132	29618	40423	60659	218023
HUV Huancavelica 79895 8449	5060	4591	16727	32665
HUC Huánuco	110978	32827	33787	15822	22565	79244
ICA Ica	56627	62102	46116	39949	39475	161545
JUN Junín	131438	80057	52599	54124	66214	189666
LAL Libertad 90324	131866	95973	84566	47322	334797
LAM Lambayeque 73279	121263	86126	50087	51467	184346
LIM Lima	416743	754216	870416	871000	362881	2035250
LOR Loreto	15662	52344	16449	18846	34998	175809
MDD MadredeDios 23945	7278	4041	3996	6601	18713
MOQ Moquegua 33665	4617	6832	10183	15412	27217
PAS Pasco	34187	12607	8009	5102	11871	28220
PIU Piura	71028	173933	68356	63866	51250	272512
PUN Puno	292218	17514	15918	21665	175712	92494
SAM SanMartin 67000	46699	26561	21825	31498	119887
TAC Tacna	64521	9363	17842	21000	28696	52847
TUM Tumbes	7613	36403	8799	7123	7046	31257
UCA Ucayali	26339	40510	14981	11124	14359	81057
