Code State	PT	PL	MDB	PDT	OTHERS
AC Acre	129022	275582	20122	12314	18863
AL Alagoas	974156	621515	67411	43542	99347
AP Amapa	197382	187621	27497	14670	15672
AM Amazonas 1019684 880198	87060	44527	82302
BA Bahia	5873081	2047599	197305	217224	539632
CE Ceara	3578355	1377827	66214	369222	236992
DF DistFederal	649534	910397	105377	74308	80284
ES EspirituSanto 897348	1160030	85325	56221	116965
GO Goias	1454723	1920203	170742	90695	176234
MA Maranhao 2603454 983861	78254	96095	158771
MT MatoGrosso	633748	1102866	55989	29437	70140
MS MatoSur	588323	794206	79719	29314	63587
MG MinasGerais	5802571	5239264	500658	310324	802411
PA Para	2443730	1884673	204075	116057	140776
PB Paraiba	1554868	717416	57154	76225	151816
PR Parana	2363492	3628612	309685	180599	346155
PE Pernambuco	3558322	1630938	96570	130015	322526
PI Piaui	1518008	406897	42179	59321	89240
RJ RioJaneiro 3847143	4831246	365969	301489	563616
RN RioNorte	1264179	622731	38633	71740	93321
RS RioSur	2806672	3245023	317957	190945	329419
RO Rondônia 261749	581306	31217	19353	33202
RR Roraima	68760	207587	12956	6709	9392
SC SantaCatarina 1279216	2694406	191310	88672	233870
SP SaoPaulo 10490032 12239989 1625596 898540 1935557
SE Sergipe	828716	378610	42073	40247	75078
TO Tocantins 434303	379194	25209	18141	34602
