Income	Education longevity
0.655	0.692	0.788
0.630	0.679	0.748
0.648	0.647	0.778
0.641	0.720	0.744
0.648	0.659	0.772
0.658	0.766	0.784
0.821	0.817	0.803
0.715	0.742	0.864
0.714	0.778	0.721
0.603	0.716	0.715
0.720	0.758	0.730
0.733	0.741	0.751
0.718	0.762	0.846
0.645	0.686	0.744
0.653	0.669	0.779
0.744	0.780	0.785
0.647	0.721	0.797
0.649	0.698	0.726
0.759	0.758	0.769
0.692	0.680	0.819
0.767	0.750	0.797
0.677	0.694	0.731
0.680	0.673	0.745
0.759	0.790	0.827
0.771	0.839	0.810
0.662	0.684	0.764
0.684	0.732	0.779
