HealthINEI	educationINEI1	educationINEI2	IncomeINEI
0.733	0.455	0.329	0.196
0.832	0.632	0.438	0.314
0.746	0.655	0.346	0.257
0.877	0.759	0.58	0.456
0.803	0.629	0.361	0.212
0.805	0.512	0.315	0.238
0.885	0.731	0.575	0.457
0.79	0.718	0.459	0.296
0.82	0.586	0.298	0.165
0.792	0.578	0.369	0.255
0.864	0.735	0.58	0.383
0.799	0.673	0.481	0.293
0.865	0.608	0.459	0.361
0.876	0.693	0.472	0.305
0.878	0.755	0.612	0.593
0.819	0.44	0.475	0.302
0.825	0.64	0.494	0.498
0.852	0.739	0.566	0.52
0.802	0.678	0.457	0.245
0.868	0.624	0.431	0.3
0.819	0.738	0.42	0.221
0.767	0.527	0.384	0.327
0.831	0.728	0.559	0.388
0.794	0.681	0.502	0.369
0.761	0.495	0.464	0.31
