,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
alpha,-0.546944769244593,0.020912726023397,0.715795134483965,-1.94890034282157,-1.04188694796493,-0.527281465518428,-0.0628871661352948,0.846531339963271,1171.53748324766,1.00026278580202
delta,1.52639078648071,0.0012403697100496,0.0496536827063179,1.42812034683788,1.49245641932671,1.52693323654575,1.5605496407745,1.62203301204168,1602.50954528409,0.999683128536026
beta[1],-19.9739004511064,0.0289989361021763,1.07204292377663,-22.0661402143996,-20.690720939451,-19.9399460588453,-19.2268238355304,-17.9394547029453,1366.65916770997,0.999824381885468
beta[2],11.1079509506631,0.0270734563735459,0.979035356179621,9.20944186480173,10.4329262964002,11.116388230999,11.7531655211804,13.0380771372974,1307.70367262071,1.00010012085062
beta[3],7.69976248626589,0.0269095355916706,0.988226127183715,5.79336322673844,7.02228758789761,7.71264062255225,8.3794208881044,9.52487816127674,1348.65310978355,0.99990224823624
mu[1],0.531009688629246,0.000228134781919904,0.0115497150319369,0.50887214387166,0.523291388093376,0.531025418264609,0.538719326045925,0.55427261879421,2563.06446968042,0.999630903097446
mu[2],0.542675715395061,0.000256476303429993,0.0119731994223551,0.519848521948792,0.534253709630995,0.542549018197501,0.550908389877634,0.565917510700174,2179.34477146842,0.999895957841197
mu[3],0.422518420277205,0.000353034143880726,0.0158991359599175,0.391583863545549,0.411871973387215,0.422201960366506,0.433439041097274,0.454062276362884,2028.21329639103,0.999996438008486
mu[4],0.592876422734552,0.000320333773803284,0.0128548333112304,0.568034753471427,0.584264486902556,0.592999542643957,0.601507525368129,0.618027861158839,1610.37655362405,0.999612223147556
mu[5],0.443861608629101,0.00029099311666783,0.0136468829791298,0.417510221961534,0.434851846344733,0.443777773785328,0.453105000546016,0.470966987095517,2199.38623660052,1.00002400623138
mu[6],0.701498213849786,0.000413530278277906,0.0153753157051557,0.670795971354641,0.691038332069455,0.701677357674923,0.711682188723445,0.731550387325966,1382.39914554572,0.999849689195268
mu[7],0.156564697015416,0.000289753709900682,0.0130870385145461,0.131712270552352,0.147826418343385,0.156185592929351,0.165431051188106,0.181911685011567,2039.9745558816,0.999603003289326
mu[8],0.516563385714768,0.000603407143023905,0.0221747310237828,0.473513181737885,0.50128142853207,0.516650951181509,0.531398822752219,0.559626717403775,1350.50385208934,0.999772520891327
mu[9],0.351172078893604,0.000409283350023765,0.0177282550220644,0.316444749223463,0.339081770322256,0.350657292676009,0.363667500912306,0.385842006739718,1876.2202793809,0.999627657034426
mu[10],0.703879847078185,0.0004911685884807,0.0183001502195804,0.667916005324751,0.691097459879844,0.704333140792067,0.716673219052158,0.73828686400755,1388.1875334868,0.999605052215451
mu[11],0.291821159955225,0.000322102184165519,0.0139056034413132,0.264975203315573,0.282117391020252,0.291559462024849,0.301421363392203,0.318610085833533,1863.77010173122,0.999732579943566
mu[12],0.236263993751695,0.000270692099256233,0.0112506544263869,0.21494120309875,0.228529707396715,0.236274851863795,0.243809917317315,0.258236373517556,1727.4457210942,0.999860127973593
mu[13],0.522467663509372,0.000499140661766358,0.0182479678826527,0.486794050881581,0.509913625199024,0.522313583271517,0.534870571150184,0.559049209039204,1336.5435513361,0.99989071065852
mu[14],0.479662692932211,0.000250141941823036,0.0109097843109745,0.458953163652972,0.472105739635284,0.479628245558933,0.487095589510762,0.500515022044632,1902.21365680074,1.00010333170585
mu[15],0.459970711493025,0.000265220608572815,0.0128522855593229,0.435067662508629,0.451147833223055,0.459854213395046,0.468521595527327,0.48583629420562,2348.26009639641,0.99988926318672
mu[16],0.332134306167728,0.000235032890869673,0.0116290810247341,0.309239742540188,0.324510171713354,0.332157873350794,0.340197840775664,0.354607297858011,2448.12454480968,0.999615843569467
mu[17],0.662597508372714,0.000326697432659629,0.0134825205856231,0.636703496181157,0.653365138456312,0.662408866817309,0.671788887220083,0.688887321019154,1703.14153725991,0.999700535633236
mu[18],0.45846608229411,0.00033303343333754,0.0127265638419445,0.433806859981558,0.449898871423794,0.45855314651564,0.467281935500927,0.48295704067816,1460.3153543526,1.00004824699465
mu[19],0.203472332834185,0.000265044757957161,0.0113421670753521,0.181320016624055,0.195656782587866,0.203558449665831,0.211249108819943,0.225407606077192,1831.27531934834,0.999713477573198
mu[20],0.37550018970602,0.000428276137350958,0.0173274244749516,0.34171823613541,0.36385589208917,0.375063160748092,0.387016454665868,0.409777174610915,1636.89293763495,0.999661112684206
mu[21],0.198200954261644,0.000294388008420912,0.0118124270606838,0.174403045799092,0.190353755659503,0.197967795724611,0.205992801611246,0.222041374261198,1610.04512660608,0.999667654334072
mu[22],0.324907232772043,0.000319036864065618,0.0119564154534921,0.301711034718567,0.31663094841289,0.324723247435866,0.333334919327216,0.348832422116712,1404.49519836324,1.00035849165173
mu[23],0.285688478302191,0.000337706682888937,0.0125018107185747,0.260420250884329,0.27712805408923,0.285762474529883,0.294257869922402,0.310685470881099,1370.46051863749,1.00043744710987
mu[24],0.362725886570183,0.000381024885809805,0.0152261941206819,0.333817612456894,0.352388880088467,0.36268615620765,0.373333579017498,0.392580591322563,1596.89382502717,0.999794266232412
mu[25],0.403762457639913,0.000443902353878363,0.0194143654701636,0.366679796563294,0.390552955559927,0.403993581779941,0.416862733738666,0.441308359856266,1912.80855619526,0.999952246356497
mu[26],0.428227262747425,0.000215888031930924,0.0101080788192508,0.408606913786263,0.42151512397782,0.428041058286373,0.435148051496016,0.448510124246156,2192.19965452343,1.00013364315427
mu[27],0.480026722944417,0.000164937914648396,0.00828314176417894,0.464060908116528,0.474565282290642,0.48008110967193,0.485414385257513,0.4965452698149,2522.02385335363,0.999599920299412
phi[1],4.60720793417578,0.00570237152529611,0.228606098058168,4.17085208926287,4.44800828508904,4.60403566199095,4.76143760833171,5.06337389385957,1607.18031044947,0.999668240546295
phi[2],4.60720793417578,0.00570237152529611,0.228606098058168,4.17085208926287,4.44800828508904,4.60403566199095,4.76143760833171,5.06337389385957,1607.18031044947,0.999668240546295
phi[3],4.60720793417578,0.00570237152529611,0.228606098058168,4.17085208926287,4.44800828508904,4.60403566199095,4.76143760833171,5.06337389385957,1607.18031044947,0.999668240546295
phi[4],4.60720793417578,0.00570237152529611,0.228606098058168,4.17085208926287,4.44800828508904,4.60403566199095,4.76143760833171,5.06337389385957,1607.18031044947,0.999668240546295
phi[5],4.60720793417578,0.00570237152529611,0.228606098058168,4.17085208926287,4.44800828508904,4.60403566199095,4.76143760833171,5.06337389385957,1607.18031044947,0.999668240546295
phi[6],4.60720793417578,0.00570237152529611,0.228606098058168,4.17085208926287,4.44800828508904,4.60403566199095,4.76143760833171,5.06337389385957,1607.18031044947,0.999668240546295
phi[7],4.60720793417578,0.00570237152529611,0.228606098058168,4.17085208926287,4.44800828508904,4.60403566199095,4.76143760833171,5.06337389385957,1607.18031044947,0.999668240546295
phi[8],4.60720793417578,0.00570237152529611,0.228606098058168,4.17085208926287,4.44800828508904,4.60403566199095,4.76143760833171,5.06337389385957,1607.18031044947,0.999668240546295
phi[9],4.60720793417578,0.00570237152529611,0.228606098058168,4.17085208926287,4.44800828508904,4.60403566199095,4.76143760833171,5.06337389385957,1607.18031044947,0.999668240546295
phi[10],4.60720793417578,0.00570237152529611,0.228606098058168,4.17085208926287,4.44800828508904,4.60403566199095,4.76143760833171,5.06337389385957,1607.18031044947,0.999668240546295
phi[11],4.60720793417578,0.00570237152529611,0.228606098058168,4.17085208926287,4.44800828508904,4.60403566199095,4.76143760833171,5.06337389385957,1607.18031044947,0.999668240546295
phi[12],4.60720793417578,0.00570237152529611,0.228606098058168,4.17085208926287,4.44800828508904,4.60403566199095,4.76143760833171,5.06337389385957,1607.18031044947,0.999668240546295
phi[13],4.60720793417578,0.00570237152529611,0.228606098058168,4.17085208926287,4.44800828508904,4.60403566199095,4.76143760833171,5.06337389385957,1607.18031044947,0.999668240546295
phi[14],4.60720793417578,0.00570237152529611,0.228606098058168,4.17085208926287,4.44800828508904,4.60403566199095,4.76143760833171,5.06337389385957,1607.18031044947,0.999668240546295
phi[15],4.60720793417578,0.00570237152529611,0.228606098058168,4.17085208926287,4.44800828508904,4.60403566199095,4.76143760833171,5.06337389385957,1607.18031044947,0.999668240546295
phi[16],4.60720793417578,0.00570237152529611,0.228606098058168,4.17085208926287,4.44800828508904,4.60403566199095,4.76143760833171,5.06337389385957,1607.18031044947,0.999668240546295
phi[17],4.60720793417578,0.00570237152529611,0.228606098058168,4.17085208926287,4.44800828508904,4.60403566199095,4.76143760833171,5.06337389385957,1607.18031044947,0.999668240546295
phi[18],4.60720793417578,0.00570237152529611,0.228606098058168,4.17085208926287,4.44800828508904,4.60403566199095,4.76143760833171,5.06337389385957,1607.18031044947,0.999668240546295
phi[19],4.60720793417578,0.00570237152529611,0.228606098058168,4.17085208926287,4.44800828508904,4.60403566199095,4.76143760833171,5.06337389385957,1607.18031044947,0.999668240546295
