,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
alpha,1.90545407054619,0.038201415575013,0.917811894957898,0.209371949547155,1.2594234662021,1.86413833540313,2.52907956030172,3.79115817774572,577.22941123361,1.00006701452245
delta,-14.0653155500567,0.13449680136636,2.86785804982017,-19.4681236277473,-16.0339090692084,-14.1479386677407,-12.1426999098553,-8.36095287505565,454.664860776733,1.00057615278382
beta[1],4.39619390236629,0.0574042684177998,1.29975381933405,1.81577442190842,3.49397056209053,4.43827557197292,5.31361809595113,6.84633254538782,512.665192070213,1.0014999169639
beta[2],-5.08964341221049,0.0480875579523663,1.05335372419918,-7.41972411595519,-5.72560936885268,-5.03536863530322,-4.38586657920353,-3.17967159882343,479.825168778164,1.00665437690643
beta[3],-0.253891330725584,0.0857877159385731,1.87566736336457,-3.63778816401145,-1.52990543616897,-0.321064971351566,0.862878266530052,3.86079720999408,478.036913153687,1.00446991074234
beta[4],-6.67349887346304,0.0700718856510613,1.51869981389925,-10.0286236116878,-7.60008526824719,-6.60263390722034,-5.60180984907696,-3.95736208838626,469.73862285688,1.00310776083023
epsilon[1],24.84640718408,0.206812463673868,4.43586407165293,15.9887383206038,21.8571617613627,24.9741842232323,27.8903367013332,33.2955892872231,460.047889529482,1.00078295239889
epsilon[2],4.90500559960896,0.0842538602367932,1.92326378037299,0.795503214967844,3.79428023330311,4.99394644069828,6.17236685131594,8.49810644509486,521.072423583794,1.00551632154897
epsilon[3],-13.7635606092076,0.0988070024836933,2.35988040416825,-18.2187172644438,-15.3426341281967,-13.8130540117186,-12.2757623237007,-9.10524430092098,570.432865572172,1.00834141553787
epsilon[4],-2.90004314156266,0.0804732365761147,1.87914179904946,-6.49837434986901,-4.17586005738305,-2.87372553811507,-1.66590970312345,0.799535551119347,545.275730888933,1.00391693977092
mu[1],0.804598333316681,0.000793150763258322,0.0205928493458917,0.763233862363349,0.790567411955428,0.80580139130767,0.819060015560023,0.843065078618469,674.095443490388,1.00234534335232
mu[2],0.534874168350251,0.000182009483676954,0.00683069765622563,0.521608785759603,0.530183470232705,0.535068419478519,0.539517855298635,0.547745068786708,1408.45212791556,0.999941868057717
mu[3],0.512020712594405,0.00222413586997538,0.0470553391866771,0.415609258546572,0.482085655115618,0.512558685027111,0.545643302554112,0.597650190742322,447.605266699702,1.00445337655314
mu[4],0.215643286702483,0.000369947357381067,0.011190071882861,0.191753524988348,0.208350525698236,0.215700669351551,0.223173705753055,0.237130212718691,914.925841026211,1.0008413307038
