,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
alpha,7.1143949846729,0.0189048182271641,0.669276149445213,5.7942849950401,6.66448405340353,7.10807837050201,7.56987962663907,8.43137351818404,1253.33072216677,1.00052329628291
delta,2.00167618911991,0.00119666542441771,0.0528559473582158,1.89447449384691,1.96585845420816,2.00276149254066,2.03779260184445,2.1038168485091,1950.93246819294,0.999971636924804
beta[1],-0.8028483644291,0.027016957686517,0.953640192497897,-2.65529137028232,-1.44245072808457,-0.803712787677622,-0.176494577111983,1.05554087990317,1245.9373591815,1.00034644294131
beta[2],-8.0889431640496,0.010260814585279,0.434120928283144,-8.94050961102936,-8.38980822015157,-8.09443300210567,-7.7871525448114,-7.25928698482182,1790.01951683573,1.00202186422185
beta[3],0.507559551043134,0.020995970261616,0.765359141124903,-0.994723339013533,0.0104920554014347,0.490897559415884,1.01313565989788,2.03425219495881,1328.79703154263,1.0017775627951
beta[4],-4.43049369640658,0.0160170057589456,0.584402598276394,-5.58802663773151,-4.81568728657957,-4.42190549847102,-4.03272860277195,-3.29851383627957,1331.25610634538,1.00013084785277
mu[1],0.894866462068539,0.000176916309796486,0.00763349319610212,0.879655041780939,0.889710206994665,0.895157166216961,0.90006187995404,0.909312610556196,1861.7051559443,1.0001239192274
mu[2],0.541230321760348,0.000195980781265044,0.00885126257094625,0.523839478434476,0.535063112738495,0.541376464815906,0.547179226885319,0.558511009505417,2039.78070419283,1.00003854593243
mu[3],0.563100846081701,0.000534974574128931,0.0204388567853606,0.521581344259116,0.549931052633583,0.563409717252074,0.576708305532864,0.603534281645847,1459.64390377082,1.00480719280996
mu[4],0.189360881428918,0.000177737203312392,0.00854793759247209,0.172830093113557,0.183535934409986,0.189078097882308,0.194862533927525,0.206877047268813,2312.94870279784,0.999842875458458
mu[5],0.651428269216306,0.000232421961348751,0.011721089343553,0.629101294799691,0.64363397443348,0.651536412108085,0.659321767413845,0.674027060856412,2543.20652506656,1.00257262155829
mu[6],0.806933545968312,0.000269419151839926,0.0118434349555019,0.783052289484604,0.799144225624678,0.806821705719021,0.815129554271841,0.829200822562921,1932.40623137579,1.00048611563044
mu[7],0.224237721849135,0.000216207691220467,0.00990493123367275,0.205157042020124,0.217368843728737,0.224141691196553,0.230733506476821,0.244254580095651,2098.74971956619,1.0002765027961
mu[8],0.399905547239062,0.000310354211294363,0.0134144445311378,0.37336623365117,0.390714640382503,0.40019888153551,0.409079496955167,0.425497944269024,1868.22897027427,1.00189835297586
mu[9],0.756670432702276,0.000329340142479222,0.0147412410252944,0.727384573328954,0.746986275131826,0.756805833702264,0.766816255763017,0.784250692908957,2003.45114380525,1.00106952754296
mu[10],0.702703311278665,0.000202998849697552,0.00971780899723358,0.684022867434047,0.696154876763694,0.702815532030976,0.709299330557717,0.721891519559711,2291.65672449242,1.00206724151506
mu[11],0.283690050994941,0.000310558405973344,0.013111820254283,0.258077481957402,0.274941620049589,0.283469092110824,0.292714353595725,0.309006937015374,1782.54045977842,1.00054298240673
mu[12],0.493769948055732,0.000296682012357394,0.0125486991407743,0.468198648707928,0.485742338570902,0.493920764981461,0.502051978420718,0.518723772701176,1789.01911930211,0.999774260783338
mu[13],0.533773322424021,0.000377207564621709,0.0145877884692648,0.504902422825086,0.524162474764973,0.533856551665731,0.544023866631915,0.561873670821343,1495.60919712674,0.999759732582567
mu[14],0.424095908177176,0.000395568141819119,0.0150859986308375,0.395217897021327,0.413689497174184,0.424034930452707,0.433748841634541,0.45398444858359,1454.47249705993,0.999649625263236
mu[15],0.118026104558482,0.00020849243070621,0.0093194631932163,0.100875272153795,0.111471020267902,0.117709355198031,0.124248057577043,0.137178012741827,1998.02634224394,0.99960355870716
mu[16],0.857789688213135,0.00030137377670246,0.0124938887363602,0.832051063826469,0.849441875344871,0.858186069169001,0.86624161731157,0.881254379665954,1718.63775039133,1.00160905959003
mu[17],0.336417785206179,0.000493753807978001,0.0193292810315897,0.299800790925633,0.323228154809957,0.33634786026472,0.3500464347708,0.37393585529432,1532.53529273294,0.999963130578442
mu[18],0.173314873265226,0.000232237188498844,0.0101036974414244,0.153993748278302,0.166409744102718,0.173146776395812,0.17980826935853,0.193669610694644,1892.76691000906,0.999716502064171
mu[19],0.533097430698218,0.000336584086742361,0.0142463666376766,0.504755422817484,0.523599025888658,0.533277684481563,0.542520687076159,0.560583422473372,1791.51758488782,0.999844847459104
mu[20],0.564483771776366,0.000405152865336722,0.0153734971381279,0.534587919632289,0.554179969826955,0.564620291545058,0.574881047651169,0.594146303754478,1439.81771713042,0.999621928375816
mu[21],0.430842269682937,0.000367246237355182,0.0168370416979891,0.397620835392,0.419480066289441,0.430462556678907,0.442485722247956,0.464789529518917,2101.92330346603,1.00120072110615
mu[22],0.727240848220115,0.000355222893565693,0.0143841531903474,0.698873601890339,0.717384331717837,0.727312025663153,0.736989557142408,0.754934841668001,1639.70871152489,1.00056083284232
