            stats
parameter             mean           sd          2.5%          25%          50%          75%
  alpha         1.82702900  0.899229620   0.150120518   1.21008090   1.79762012   2.43250778
  delta       -14.45306646  2.421817509 -19.218273775 -16.05182278 -14.52204992 -12.89810255
  beta[1]       4.52935355  1.172146692   2.132320412   3.74400007   4.56484746   5.35529221
  beta[2]      -5.21635239  0.368421538  -5.947041817  -5.45909870  -5.20640357  -4.96434816
  beta[3]      -6.86532731  0.468213196  -7.782669599  -7.18375994  -6.86565249  -6.54674472
  epsilon[1]   25.44358267  3.484059288  18.294407620  23.16765072  25.52554084  27.72693990
  epsilon[2]    4.70973452  0.900017741   2.883158263   4.12101844   4.73010240   5.31113780
  epsilon[3]  -13.49687069  1.437619602 -16.247336665 -14.49640831 -13.51465112 -12.52998245
  epsilon[4]   -3.19127987  1.355202208  -5.867855938  -4.09828826  -3.19077842  -2.30787255
  mu[1]         0.80604640  0.016626088   0.772295121   0.79526420   0.80650342   0.81740394
  mu[2]         0.53568305  0.007037147   0.521999703   0.53103690   0.53576507   0.54031141
  mu[3]         0.50619071  0.023844541   0.459908273   0.48970970   0.50595086   0.52223737
  mu[4]         0.21590616  0.009225407   0.197940996   0.20980603   0.21576143   0.22187383
  mu[5]         0.67423831  0.006386770   0.661861604   0.66983465   0.67427670   0.67853179
  mu[6]         0.76274161  0.009119180   0.744784107   0.75637048   0.76282616   0.76899514
  mu[7]         0.24704917  0.009702797   0.227787440   0.24062454   0.24701424   0.25319884
  mu[8]         0.40808649  0.015518665   0.378232307   0.39740325   0.40789572   0.41852991
  mu[9]         0.79428629  0.007259092   0.778964887   0.78954702   0.79452150   0.79921925
  mu[10]        0.65660548  0.010867383   0.634675599   0.64941708   0.65672126   0.66391891
  mu[11]        0.32678057  0.008629133   0.309598844   0.32096202   0.32669186   0.33240203
  mu[12]        0.48097991  0.012310601   0.456872771   0.47236951   0.48110072   0.48925062
  mu[13]        0.52372039  0.010444548   0.503916455   0.51665815   0.52345233   0.53083650
  mu[14]        0.52144564  0.012551937   0.494664674   0.51337043   0.52216394   0.53043239
  mu[15]        0.09962236  0.009225987   0.082062439   0.09332727   0.09938769   0.10609934
  mu[16]        0.76245003  0.015306020   0.733268964   0.75218748   0.76259589   0.77276656
  mu[17]        0.23319994  0.019912147   0.195927830   0.21914168   0.23278238   0.24673302
  mu[18]        0.14983440  0.011598244   0.127607765   0.14187856   0.14954409   0.15801233
  mu[19]        0.55990984  0.009130199   0.541429069   0.55375942   0.55993571   0.56606910
  mu[20]        0.60914205  0.010214510   0.587030234   0.60261779   0.60979725   0.61625494
  mu[21]        0.54228728  0.012771352   0.516486945   0.53432675   0.54255260   0.55116715
  mu[22]        0.57594917  0.026441994   0.522407114   0.55854038   0.57596380   0.59344144
  mu[23]        0.29531653  0.011523428   0.272471137   0.28745260   0.29523646   0.30311988
  mu[24]        0.34046698  0.018562542   0.305234143   0.32784804   0.33998173   0.35275485
  mu[25]        0.63685961  0.026139239   0.583051368   0.61997029   0.63698552   0.65447953
  phi[1]        3.63006766  0.641702690   2.539001140   3.18463876   3.56735512   4.00235418
  phi[2]       16.17314044  1.537664653  13.397627519  15.11015561  16.11577167  17.14622711
  phi[3]        8.50178725  1.623702471   5.746874652   7.38113132   8.34005666   9.44590812
  phi[4]        8.65848832  0.973937011   6.864874009   7.98529940   8.58933432   9.29981570
  phi[5]       29.99211015  4.092305714  22.721137481  27.09285628  29.76565515  32.64520429
  phi[6]       31.14830023  4.286028130  23.376661821  28.18698571  30.99709692  33.74564625
  phi[7]        9.94059780  1.292741638   7.605488117   9.04827540   9.88040694  10.75603996
  phi[8]        6.66717172  0.839801754   5.144252140   6.07075156   6.64385586   7.20242434
  phi[9]      104.68061386 25.430913124  63.761373945  86.26670364 102.17112479 119.75997669
  phi[10]      13.85843633  0.986532816  11.975065322  13.17581110  13.85983499  14.52200181
  phi[11]       7.03203170  0.948080284   5.370404765   6.35087035   6.98715491   7.64204691
  phi[12]       5.07660196  0.542602062   4.065736903   4.70173302   5.05628544   5.42236810
  phi[13]      21.87804300  3.611200585  15.609724766  19.39799810  21.65279853  23.96587354
  phi[14]      43.95929709 10.418519007  26.528405104  36.54649826  42.85547481  50.06040653
  phi[15]       3.68691300  0.642084350   2.567124809   3.23173574   3.63890155   4.09264970
  phi[16]       3.01216850  0.613445204   2.018403150   2.58526725   2.95094196   3.36325775
  phi[17]       3.72144305  0.731965671   2.528051422   3.19763441   3.66266902   4.14312012
  phi[18]       4.12210659  0.576695591   3.093822459   3.72808785   4.08953535   4.49332170
  phi[19]       9.06378113  1.176461356   6.998738568   8.25178705   8.96420843   9.78364814
  phi[20]      45.65035956 10.242160587  28.758965138  38.58322822  44.55954560  51.70195790
  phi[21]      33.34021855  6.621715569  21.950431789  28.63250690  32.89572446  37.51984312
  phi[22]       3.78979611  0.659956745   2.745716018   3.31141395   3.70889466   4.16278505
  phi[23]       3.82333836  0.377862488   3.136212461   3.56236097   3.80873531   4.06198789
  phi[24]       2.75377838  0.384452983   2.075821606   2.49552376   2.71514821   2.98069755
  phi[25]       1.01574998  0.239622174   0.626441242   0.84661324   0.98156225   1.15029057
  A[1]          2.93257445  0.559640774   1.986804089   2.53948627   2.87984209   3.26128167
  A[2]          8.65940746  0.783932404   7.227893560   8.10743125   8.64125495   9.14639692
  A[3]          4.32523358  0.967436062   2.779179541   3.65586487   4.21075678   4.87562859
  A[4]          1.86651322  0.198399551   1.496257006   1.72904517   1.86021489   1.99871792
  A[5]         20.22245272  2.768713888  15.281324971  18.24324525  20.10630632  21.99890646
  A[6]         23.74657953  3.191854592  17.962531435  21.56099712  23.62659599  25.65504589
  A[7]          2.45308285  0.311378074   1.881219209   2.23922209   2.44266015   2.65411922
  A[8]          2.72394881  0.382369911   2.034374116   2.45229725   2.71231903   2.96279082
  A[9]         83.24296050 20.638030869  50.213187574  68.28347301  81.17941416  95.64396345
  A[10]         9.09828558  0.647894513   7.866033093   8.63647736   9.10074662   9.51908866
  A[11]         2.29617677  0.301686212   1.746815847   2.08272401   2.28125145   2.49403115
  A[12]         2.44254995  0.275463634   1.940765634   2.25483587   2.43243605   2.61055041
  A[13]        11.45883922  1.905304117   8.080091316  10.13725992  11.34550015  12.58188404
  A[14]        23.00796512  5.825029456  13.267173276  18.84616661  22.44302178  26.44004145
  A[15]         0.36806136  0.077077526   0.237295850   0.31336256   0.36099467   0.41244600
